           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
 4282978.228655 [0006]  migration/6[45]                     0.000      0.002      0.012 
 4282978.229063 [0006]  tr[27099]                           0.012      0.000      0.407 
 4282978.229111 [0004]  sh[27090]                           0.000      0.023      2.941 
 4282978.229128 [0008]  <idle>                              0.104      0.000      1.016 
 4282978.229162 [0008]  sh[27100]                           0.000      0.032      0.033 
 4282978.229170 [0008]  migration/8[57]                     2.147      0.001      0.008 
 4282978.229202 [0006]  <idle>                              0.585      0.000      0.139 
 4282978.229218 [0006]  tr[27099]                           0.139      0.001      0.015 
 4282978.229264 [0006]  <idle>                              0.015      0.000      0.045 
 4282978.229268 [0004]  bash[27098]                         0.000      0.693      0.156 
 4282978.229299 [0011]  <idle>                              0.480      0.000      0.798 
 4282978.229306 [0011]  bash[27096]                         0.798      0.032      0.007 
 4282978.229332 [0010]  <idle>                              0.190      0.000      2.170 
 4282978.229333 [0006]  tr[27099]                           0.045      0.001      0.069 
 4282978.229340 [0010]  bash[27095]                         1.037      0.054      0.008 
 4282978.229369 [0011]  <idle>                              0.007      0.000      0.063 
 4282978.229438 [0002]  <idle>                              0.103      0.000      1.425 
 4282978.229440 [0000]  bash[27094]                         0.032      0.000      1.316 
 4282978.229460 [0002]  x11vnc[5861]                        0.000      0.002      0.022 
 4282978.229470 [0008]  continuum_save.[27100]              0.008      0.000      0.299 
 4282978.229474 [0002]  <idle>                              0.022      0.000      0.013 
 4282978.229475 [0008]  migration/8[57]                     0.299      0.001      0.004 
 4282978.229475 [0011]  bash[27096]                         0.063      0.038      0.105 
 4282978.229487 [0001]  tmux: server[27097]                 0.000      0.029      1.166 
 4282978.229496 [0001]  migration/1[15]                     0.000      0.001      0.008 
 4282978.229500 [0010]  <idle>                              0.008      0.000      0.159 
 4282978.229559 [0008]  <idle>                              0.346      0.000      0.084 
 4282978.229571 [0008]  bash[27086]                         1.447      0.003      0.011 
 4282978.229629 [0008]  <idle>                              0.011      0.000      0.058 
 4282978.229638 [0010]  bash[27095]                         0.159      0.031      0.137 
 4282978.229642 [0000]  bash[27101]                         0.000      0.020      0.202 
 4282978.229719 [0011]  <idle>                              0.105      0.000      0.243 
 4282978.229730 [0011]  bash[27078]                         4.310      0.029      0.010 
 4282978.229800 [0008]  bash[27086]                         0.058      0.001      0.170 
 4282978.229823 [0011]  <idle>                              0.010      0.000      0.093 
 4282978.229823 [0005]  <idle>                              0.029      0.000      2.694 
 4282978.229856 [0010]  bash[27102]                         0.000      0.011      0.218 
 4282978.229980 [0005]  bash[27104]                         0.000      0.009      0.156 
 4282978.229989 [0005]  migration/5[39]                     0.000      0.002      0.008 
 4282978.230031 [0010]  bash[27103]                         0.000      0.095      0.175 
 4282978.230033 [0011]  bash[27078]                         0.093      0.030      0.209 
 4282978.230056 [0006]  <idle>                              0.069      0.000      0.723 
 4282978.230056 [0000]  <idle>                              1.519      0.000      0.413 
 4282978.230064 [0000]  bash[27102]                         0.200      0.029      0.007 
 4282978.230177 [0006]  bash[27072]                         7.138      0.026      0.121 
 4282978.230213 [0002]  bash[27100]                         0.003      0.000      0.739 
 4282978.230329 [0000]  <idle>                              0.007      0.000      0.264 
 4282978.230338 [0000]  bash[27101]                         0.686      0.001      0.009 
 4282978.230367 [0000]  <idle>                              0.009      0.000      0.028 
 4282978.230368 [0010]  tr[27104]                           0.050      0.000      0.336 
 4282978.230374 [0008]  <idle>                              0.170      0.000      0.574 
 4282978.230379 [0006]  bash[27105]                         0.000      0.020      0.201 
 4282978.230392 [0002]  bash[27106]                         0.000      0.019      0.179 
 4282978.230464 [0000]  bash[27102]                         0.302      0.001      0.097 
 4282978.230482 [0004]  <idle>                              3.098      0.000      1.214 
 4282978.230553 [0005]  <idle>                              0.165      0.000      0.564 
 4282978.230565 [0005]  bash[27094]                         1.113      0.025      0.011 
 4282978.230587 [0008]  bash[27108]                         0.000      0.002      0.212 
 4282978.230603 [0008]  <idle>                              0.212      0.000      0.016 
 4282978.230610 [0004]  bash[27101]                         0.144      0.026      0.127 
 4282978.230614 [0004]  <idle>                              0.127      0.000      0.003 
 4282978.230622 [0004]  kworker/4:3[19222]                  5.973      0.000      0.008 
 4282978.230626 [0005]  bash[27109]                         0.000      0.018      0.060 
 4282978.230630 [0010]  <idle>                              0.868      0.000      0.262 
 4282978.230631 [0005]  migration/5[39]                     0.637      0.001      0.004 
 4282978.230634 [0000]  bash[27107]                         0.000      0.105      0.169 
 4282978.230685 [0004]  <idle>                              0.008      0.000      0.062 
 4282978.230697 [0008]  bash[27094]                         0.037      0.000      0.094 
 4282978.230794 [0000]  <idle>                              0.267      0.000      0.160 
 4282978.230795 [0002]  <idle>                              0.918      0.000      0.402 
 4282978.230798 [0002]  rcu_sched[8]                        3.995      0.001      0.003 
 4282978.230854 [0000]  bash[27110]                         0.000      0.188      0.059 
 4282978.230857 [0000]  migration/0[10]                     0.000      0.001      0.003 
 4282978.230859 [0007]  <idle>                              0.073      0.000      3.373 
 4282978.230903 [0009]  <idle>                              1.094      0.000      3.015 
 4282978.230922 [0004]  bash[27111]                         0.000      0.001      0.237 
 4282978.231015 [0002]  <idle>                              0.003      0.000      0.216 
 4282978.231021 [0002]  bash[27106]                         0.622      0.022      0.005 
 4282978.231062 [0010]  dirname[27109]                      0.004      0.000      0.431 
 4282978.231064 [0010]  <idle>                              0.431      0.000      0.002 
 4282978.231083 [0008]  <idle>                              0.094      0.000      0.386 
 4282978.231084 [0010]  kworker/10:2[18659]                 9.161      0.000      0.019 
 4282978.231168 [0005]  <idle>                              0.077      0.000      0.537 
 4282978.231194 [0002]  <idle>                              0.005      0.000      0.173 
 4282978.231196 [0009]  bash[27112]                         0.000      0.002      0.293 
 4282978.231199 [0008]  bash[27108]                         0.496      0.023      0.115 
 4282978.231229 [0005]  bash[27113]                         0.000      0.024      0.061 
 4282978.231237 [0005]  migration/5[39]                     0.598      0.001      0.007 
 4282978.231287 [0004]  <idle>                              0.237      0.000      0.365 
 4282978.231297 [0004]  bash[27100]                         1.074      0.029      0.009 
 4282978.231330 [0002]  bash[27106]                         0.173      0.001      0.135 
 4282978.231357 [0004]  <idle>                              0.009      0.000      0.059 
 4282978.231423 [0002]  <idle>                              0.135      0.000      0.093 
 4282978.231474 [0002]  sleep[27067]                      100.049      0.001      0.051 
 4282978.231505 [0006]  <idle>                              0.322      0.000      1.126 
 4282978.231688 [0002]  <idle>                              0.051      0.000      0.213 
 4282978.231702 [0001]  sh[27097]                           0.008      0.000      2.205 
 4282978.231777 [0001]  sh[27116]                           0.000      0.018      0.075 
 4282978.231786 [0001]  migration/1[15]                     2.281      0.001      0.009 
 4282978.231891 [0008]  <idle>                              0.115      0.000      0.692 
 4282978.231900 [0008]  bash[27111]                         0.969      0.001      0.008 
 4282978.231903 [0011]  <idle>                              0.209      0.000      1.870 
