           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
 4282978.226917 [0002]  <idle>                              0.173      0.000      1.177 
 4282978.226922 [0008]  fzf[18637/18636]                   90.171      0.001      0.008 
 4282978.226924 [0002]  fzf[4923/4922]                     90.174      0.002      0.006 
 4282978.226928 [0008]  <idle>                              0.008      0.000      0.006 
 4282978.226938 [0008]  bash[27089]                         0.706      0.000      0.009 
 4282978.226942 [0007]  sh[27079]                           0.000      0.023      3.265 
 4282978.226971 [0000]  dirname[27092]                      0.027      0.000      0.353 
 4282978.226971 [0010]  <idle>                              0.389      0.000      0.374 
 4282978.226974 [0000]  <idle>                              0.353      0.000      0.003 
 4282978.226978 [0000]  kworker/0:0[20729]                  1.916      0.000      0.003 
 4282978.226997 [0008]  sh[27093]                           0.000      0.007      0.059 
 4282978.227015 [0008]  migration/8[57]                     2.344      0.001      0.017 
 4282978.227040 [0000]  <idle>                              0.003      0.000      0.062 
 4282978.227100 [0011]  <idle>                              2.457      0.000      6.926 
 4282978.227100 [0005]  <idle>                              1.419      0.000      2.467 
 4282978.227123 [0011]  fzf[18638/18636]                    1.071      0.024      0.023 
 4282978.227123 [0005]  fzf[8489/4922]                      1.071      0.024      0.023 
 4282978.227129 [0005]  fzf[10391/4922]                   100.227      0.011      0.005 
 4282978.227141 [0001]  <idle>                              0.007      0.000      0.341 
 4282978.227147 [0001]  fzf[18646/18636]                  100.242      0.027      0.006 
 4282978.227162 [0010]  bash[27091]                         0.451      0.001      0.190 
 4282978.227209 [0008]  <idle>                              0.086      0.000      0.194 
 4282978.227300 [0001]  <idle>                              0.006      0.000      0.153 
 4282978.227308 [0001]  bash[27085]                         1.312      0.028      0.007 
 4282978.227341 [0008]  bash[27089]                         0.271      0.054      0.132 
 4282978.227365 [0001]  <idle>                              0.007      0.000      0.057 
 4282978.227373 [0007]  <idle>                              3.265      0.000      0.431 
 4282978.227385 [0007]  sh[27079]                           0.431      0.001      0.011 
 4282978.227411 [0007]  <idle>                              0.011      0.000      0.026 
 4282978.227411 [0000]  uname[27093]                        0.042      0.000      0.371 
 4282978.227413 [0000]  <idle>                              0.371      0.000      0.002 
 4282978.227418 [0000]  kworker/0:0[20729]                  0.435      0.000      0.004 
 4282978.227485 [0007]  sh[27079]                           0.026      0.001      0.073 
 4282978.227799 [0008]  <idle>                              0.132      0.000      0.457 
 4282978.227808 [0008]  bash[27086]                         2.218      0.022      0.009 
 4282978.227887 [0009]  tmux[27088]                         0.000      1.080      1.094 
 4282978.227909 [0002]  <idle>                              0.006      0.000      0.985 
 4282978.228007 [0008]  <idle>                              0.009      0.000      0.198 
 4282978.228012 [0002]  bash[27087]                         2.169      0.024      0.103 
 4282978.228020 [0001]  bash[27085]                         0.057      0.029      0.654 
 4282978.228020 [0011]  <idle>                              0.023      0.000      0.896 
 4282978.228090 [0011]  bash[27094]                         0.000      0.030      0.070 
 4282978.228098 [0011]  migration/11[75]                    0.000      0.001      0.007 
 4282978.228112 [0008]  bash[27086]                         0.198      0.001      0.104 
 4282978.228123 [0000]  <idle>                              0.004      0.000      0.705 
 4282978.228294 [0011]  bash[27095]                         0.000      0.003      0.196 
 4282978.228321 [0001]  <idle>                              0.654      0.000      0.300 
 4282978.228477 [0006]  <idle>                              0.084      0.000      3.343 
 4282978.228501 [0011]  bash[27096]                         0.000      0.018      0.206 
 4282978.228643 [0006]  bash[27099]                         0.000      0.003      0.165 
